"","x","y","z","u","w","p"
"s1",0.000905517872110157,7.98374994149923,0.190839137046762,0.503053087575358,0.0124303012756777,1.12625555353569
"s2",0.300502776165012,4.14674830065401,1.09687960824242,1.89383370534146,0.0740900288080402,1.40590529424621
"s3",0.447224023937248,3.16552899389245,1.75360823669993,2.7908355990903,0.175020972695061,1.5389540394495
"s4",0.749104127759957,2.45911245448107,2.39410137460523,3.87980937111406,0.908125974638278,1.78946623463893
"s5",0.986917059078312,2.34447856087276,2.48155556052514,4.1184089290767,2.40192829675813,1.9562842578321
